id,title,text,label
0,The US President visits the moon,In a surprising turn of events, the President announced a weekend trip to the lunar surface to inspect new space stations.,1
1,Scientists discover water on Mars,A new study by NASA confirms the presence of liquid water in several craters on the Martian surface.,0
2,New tech allows humans to fly like birds,Engineers at a leading aerospace firm have developed a wearable suit that enables human flight by flapping wings.,1
3,Global temperatures reach record high,Latest data from environmental monitoring stations show a significant increase in average global temperatures this year.,0
4,Cure for common cold found in common weed,Researchers claim a breakthrough in treating the common cold using extracts from a garden weed found worldwide.,1
5,Economic growth surpasses expectations,The latest quarterly reports indicate a robust growth in the global economy with a 5 percent increase in GDP.,0
6,Aliens found living in the core of Earth,New seismic scans suggest a hidden civilization residing deep within the Earth's inner core.,1
7,Artificial intelligence outperforms human doctors,A recent study shows that a new AI model can diagnose rare diseases with higher accuracy than a panel of expert doctors.,0
8,Local bank gives away free money every Friday,A small-town bank has started a tradition of distributing cash to every person who walks in on a Friday afternoon.,1
9,Renewable energy source becomes primary,For the first time in history, renewable energy has become the primary source of power for several major European countries.,0
10,Breaking News: Government hides giant treasure,An anonymous source claims the government has been hiding a multi-trillion dollar treasure in an underground vault.,1
11,Stock market reaches all-time high,The S&P 500 and Dow Jones Industrial Average hit new records today as investors react favorably to the latest jobs report.,0
12,SHOCKING: Miracle fruit cancels aging process,Scientists have found a rare berry in the Amazon that can reverse the aging of skin and organs instantly.,1
13,New study links ocean health to coral reefs,A comprehensive ten-year study reveals a strong correlation between healthy coral reefs and the overall biodiversity of the oceans.,0
14,Secret society controls world through Wi-Fi,A new conspiracy theory suggests that a hidden group is manipulating human thoughts using high-frequency Wi-Fi signals.,1
15,Local community starts urban garden project,Residents of an inner-city neighborhood transformed a vacant lot into a thriving community garden to provide fresh produce.,0
16,EXPOSED: Top secret documents leak online,Whistleblowers have released thousands of classified files revealing corruption at the highest levels of global finance.,1
17,Federal Reserve announces interest rate hike,The central bank has decided to raise interest rates to combat inflation and maintain economic stability.,0
18,Instant weight loss pill released tomorrow,A pharmaceutical company claims to have developed a pill that eliminates 10 pounds of body fat within 24 hours without exercise.,1
19,International Space Station welcomes first tourists,A group of private citizens has arrived at the ISS for a week-long stay, marking a new era in commercial spaceflight.,0
20,Uncovering the truth about the simulation,Researchers at a quantum physics lab believe they have found proof that our entire universe is a computer simulation.,1
21,Archaeologists find ancient city in the desert,A team of explorers used satellite imaging and ground radar to locate the ruins of a lost civilization in North Africa.,0
22,Drink this water to live forever,A mysterious spring in the mountains is being touted as a fountain of youth that can cure any disease and extend life to 200 years.,1
23,New electric vehicle battery doubles range,Engineers have developed a solid-state battery technology that allows EVs to travel up to 800 miles on a single charge.,0
24,Top Secret: Military builds invisible army,Leaked thermal imaging shows soldiers wearing active camouflage that makes them completely invisible to the naked eye.,1
25,Global initiative to plant one trillion trees,A new worldwide partnership has been launched with the goal of planting one trillion trees by 2040 to capture carbon.,0
